instance_id;value;time
IDAN_0;0.083333333;0
IDAN_1;0.166666667;0
IDAN_2;0.25;0
IDAN_3;0.333333333;0
IDAN_4;0.416666667;0
IDAN_5;0.5;0
IDAN_6;0.583333333;0
IDAN_7;0.666666667;0
IDAN_8;0.75;0
IDAN_9;0.833333333;0
IDAN_10;0.916666667;0
ANUN_0;0.930059524;0
ANUN_1;0.883928571;0
ANUN_2;0.806547619;0
ANUN_3;0.724702381;0
ANUN_4;0.680059524;0
ANUN_5;0.595238095;0
ANUN_6;0.540178571;0
ANUN_7;0.474702381;0
ANUN_8;0.453869048;0
ANUN_9;0.322916667;0
ANUN_10;0.282738095;0
Mallows_0;0.01264881;0
Mallows_1;0.017857143;0
Mallows_2;0.023809524;0
Mallows_3;0.031994048;0
Mallows_4;0.052083333;0
Mallows_5;0.075892857;0
Mallows_6;0.074404762;0
Mallows_7;0.110119048;0
Mallows_8;0.133928571;0
Mallows_9;0.183779762;0
Mallows_10;0.171130952;0
Irish_0;0.1611515152;0
Irish_1;0.1843444444;0
Irish_2;0.1429230769;0
Debian_0;0.2224561404;0
Debian_1;0.1586065574;0
Debian_2;0.1228269085;0
Debian_3;0.05005089922;0
Debian_4;0.1358921162;0
Debian_5;0.09495412844;0
Debian_6;0.09594706369;0
Debian_7;0.1293706294;0
Netflix_0;0.2495948136;0
Netflix_1;0.3204577969;0
Netflix_2;0.1675213675;0
Netflix_3;0.2854609929;0
Netflix_4;0.24;0
Netflix_5;0.175257732;0
Netflix_6;0.3020833333;0
Netflix_7;0.1229508197;0
Netflix_8;0.1600587372;0
Netflix_9;0.135891287;0
Skating_0;0.02686202686;0
Skating_1;0.01229688186;0
Skating_2;0.01871345029;0
Skating_3;0.01368760064;0
Skating_4;0.038647343;0
Skating_5;0.03638726446;0
Skating_6;0.03337725077;0
Skating_7;0.0813362382;0
Skating_8;0.01904761905;0
Skating_9;0.01771336554;0
ERS_0;0.1594254937;0
ERS_1;0.2527027027;0
ERS_2;0.2289438503;0
ERS_3;0.08463768116;0
ERS_4;0.09256038647;0
ERS_5;0.1615954416;0
ERS_6;0.4287949922;0
ERS_7;0.2638121547;0
ERS_8;0.06970439798;0
ERS_9;0.07870193347;0
Glasgow_0;0.1683494364;0
Glasgow_1;0.1878553907;0
Glasgow_2;0.1626421697;0
Glasgow_3;0.1613008749;0
Glasgow_4;0.2033581612;0
Glasgow_5;0.1076976353;0
Glasgow_6;0.1731312431;0
Glasgow_7;0.111680197;0
Glasgow_8;0.1536996685;0
Glasgow_9;0.1437913329;0
AGH_0;0.1057838661;0
AGH_1;0.1195144725;0
Skiing_0;0.1835002035;0
Skiing_1;0.1977723634;0
Web search_0;0.2040738626;0
Web search_1;0.2640323485;0
Web search_2;0.3377360492;0
Web search_3;0.2288309133;0
Web search_4;0.3558811667;0
Web search_5;0.3017225398;0
Web search_6;0.3762214227;0
Web search_7;0.2913392095;0
Web search_8;0.2718207086;0
Web search_9;0.3103970321;0
Tshirt;0.09212121212;0
Sushi_0;0.1388266667;0
Sushi_1;0.02011741414;0
Minneapolis_0;0.002957529152;0
Minneapolis_1;0.1120068507;0
Minneapolis_2;0.001656806098;0
Minneapolis_3;0.09249546605;0
MTurk Dots_0;0.2628930818;0
MTurk Dots_1;0.2195633921;0
MTurk Dots_2;0.1545833333;0
MTurk Dots_3;0.1523929471;0
MTurk Puzzle_0;0.2282471627;0
MTurk Puzzle_1;0.1534591195;0
MTurk Puzzle_2;0.1576519916;0
MTurk Puzzle_3;0.1994981179;0
APA_0;0.2113550179;0
APA_1;0.2964336825;0
APA_2;0.2129551855;0
APA_3;0.2448997823;0
APA_4;0.1695477835;0
APA_5;0.2221563491;0
APA_6;0.1844737467;0
APA_7;0.2358612404;0
APA_8;0.2139013453;0
APA_9;0.2651211389;0
Labour Party;0.1270676692;0
Cujae_0;0.1416666667;0
Cujae_1;0.1688888889;0
Cujae_2;0.1446808511;0
Cujae_3;0.0989010989;0
Cities_0;0.05633300939;0
Cities_1;0.04367491678;0
Breakfast_0;0.1755102041;0
Breakfast_1;0.05442176871;0
Breakfast_2;0.1886621315;0
Breakfast_3;0.2412698413;0
Breakfast_4;0.1555555556;0
Breakfast_5;0.08526077098;0
Cycling_0;0.1158594492;0
Cycling_1;0.1123188406;0
Cycling_2;0.08010592519;0
Cycling_3;0.06110731374;0
Cycling_4;0.07591544578;0
Cycling_5;0.08750166733;0
Cycling_6;0.2652650867;0
Cycling_7;0.1180034972;0
Cycling_8;0.07273641851;0
Cycling_9;0.1862217579;0
Universities_0;0.1708759689;0
Universities_1;0.1477059893;0
Universities_2;0.2368830387;0
Universities_3;0.2305928049;0
Spotify_0;0.01698966658;0
Spotify_1;0.01624171053;0
Spotify_2;0.02321352842;0
Spotify_3;0.02197123576;0
Spotify_4;0.02327274236;0
Spotify_5;0.02500013507;0
Spotify_6;0.02155026874;0
Spotify_7;0.02276710073;0
Spotify_8;0.02235702719;0
Spotify_9;0.02224471234;0
Movehub;0.3993252943;0
Countries_0;0.1081836207;0
Countries_1;0.1003574406;0
Countries_2;0.1081096993;0
Countries_3;0.1037759746;0
Countries_4;0.1025439287;0
Countries_5;0.1232230316;0
Countries_6;0.1293419344;0
Countries_7;0.123574734;0
Countries_8;0.1317894974;0
Countries_9;0.1857075312;0
F1_0;0.1169678715;0
F1_1;0.08490680664;0
